CASE_NUMBER,DATE,BLOCK,COMMUNITY_AREA,AGE,SEX,RACE,INCIDENT_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
JF521941,12/24/2022 10:42:00 PM,400 W 95TH PL,WASHINGTON HEIGHTS,30-39,M,BLK,AGGRAVATED - HANDGUN,12,7,22,RESIDENCE,41.7210531,-87.63401094,POINT (-87.634010941301 41.721053095858)
JF521828,12/24/2022 07:02:00 PM,800 W 59TH ST,ENGLEWOOD,0-19,M,BLK,AGGRAVATED - HANDGUN,12,7,19,STREET,41.78709835,-87.64552535,POINT (-87.64552534612 41.787098345858)
JF521828,12/24/2022 07:02:00 PM,800 W 59TH ST,ENGLEWOOD,50-59,M,UNKNOWN,AGGRAVATED - HANDGUN,12,7,19,STREET,41.78709835,-87.64552535,POINT (-87.64552534612 41.787098345858)
JF521761,12/24/2022 05:48:00 PM,7900 S COLFAX AVE,SOUTH CHICAGO,50-59,M,BLK,AGGRAVATED - HANDGUN,12,7,17,ALLEY,41.75210517,-87.56125939,POINT (-87.561259391301 41.752105165858)
JF521244,12/24/2022 12:55:00 AM,2500 N RUTHERFORD AVE,MONTCLARE,40-49,M,WWH,FIRST DEGREE MURDER,12,7,0,STREET,41.9251169,-87.79396094,POINT (-87.793960941301 41.925116904142)
JF521130,12/23/2022 08:15:00 PM,4600 N LAWNDALE AVE,ALBANY PARK,0-19,M,WWH,FIRST DEGREE MURDER,12,6,20,YARD,41.96636967,-87.72032855,POINT (-87.720328547471 41.966369668947)
JF520455,12/23/2022 12:20:00 AM,400 W HURON ST,NEAR NORTH SIDE,30-39,M,WWH,FIRST DEGREE MURDER,12,6,0,STREET,41.8940105,-87.6392,POINT (-87.6392 41.8940105)
JF523768,12/23/2022 12:00:00 AM,11000 S HALSTED ST,ROSELAND,30-39,M,BLK,AGGRAVATED - HANDGUN,12,6,0,ALLEY,41.69382835,-87.64271535,POINT (-87.64271534612 41.693828345858)
JF519805,12/22/2022 11:37:00 AM,7100 S WOODLAWN AVE,GREATER GRAND CROSSING,20-29,M,BLK,FIRST DEGREE MURDER,12,5,11,STREET,41.7645905,-87.59598,POINT (-87.59598 41.7645905)
JF519440,12/22/2022 04:56:00 AM,9300 S COTTAGE GROVE AVE,CHATHAM,60-69,M,BLK,AGGRAVATED - HANDGUN,12,5,4,STREET,41.72611967,-87.60427855,POINT (-87.604278547471 41.726119668947)
JF519336,12/21/2022 11:25:00 PM,6700 S LAWNDALE AVE,WEST LAWN,20-29,M,BLK,FIRST DEGREE MURDER,12,4,23,GAS STATION DRIVE/PROP.,41.7709069,-87.71563906,POINT (-87.715639058699 41.770906904142)
JF518742,12/21/2022 02:10:00 PM,8400 S PARNELL AVE,AUBURN GRESHAM,0-19,M,BLK,AGGRAVATED - HANDGUN,12,4,14,SIDEWALK,41.74040835,-87.63709465,POINT (-87.63709465388 41.740408345858)
JF518510,12/21/2022 11:41:00 AM,400 E 48TH ST,GRAND BOULEVARD,30-39,M,BLK,FIRST DEGREE MURDER,12,4,11,STREET,41.80804967,-87.61555855,POINT (-87.615558547471 41.808049668947)
JF518118,12/21/2022 01:16:00 AM,7000 S DAMEN AVE,WEST ENGLEWOOD,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,1,STREET,41.76530835,-87.67412535,POINT (-87.67412534612 41.765308345858)
JF518085,12/20/2022 11:54:00 PM,8000 S HALSTED ST,AUBURN GRESHAM,30-39,M,BLK,FIRST DEGREE MURDER,12,3,23,BARBER SHOP/BEAUTY SALON,41.7475205,-87.64412,POINT (-87.64412 41.7475205)
JF518079,12/20/2022 11:45:00 PM,1800 W 45TH ST,NEW CITY,20-29,M,WWH,AGGRAVATED - HANDGUN,12,3,23,STREET,41.81262082,-87.67169742,POINT (-87.671697416699 41.812620821858)
JF517859,12/20/2022 06:57:00 PM,6900 S KANST DR,CHICAGO LAWN,50-59,M,WWH,FIRST DEGREE MURDER,12,3,18,STREET,41.7687931,-87.69654906,POINT (-87.696549058699 41.768793095858)
JF517494,12/20/2022 01:57:00 PM,9200 S PRINCETON AVE,ROSELAND,30-39,M,BLK,AGGRAVATED - HANDGUN,12,3,13,STREET,41.7261169,-87.62940094,POINT (-87.629400941301 41.726116904142)
JF517057,12/20/2022 09:24:00 AM,1600 S KEELER AVE,NORTH LAWNDALE,20-29,F,BLK,AGGRAVATED - HANDGUN,12,3,9,STREET,41.85833165,-87.73011535,POINT (-87.73011534612 41.858331654142)
JF516979,12/20/2022 08:11:00 AM,3400 W DOUGLAS BLVD,NORTH LAWNDALE,30-39,M,BLK,AGGRAVATED - OTHER FIREARM,12,3,8,ALLEY,41.8635031,-87.71142906,POINT (-87.711429058699 41.863503095858)
JF516523,12/19/2022 05:31:00 PM,13000 S CHAMPLAIN AVE,RIVERDALE,40-49,M,BLK,AGGRAVATED - HANDGUN,12,2,17,RESIDENCE,41.65762165,-87.60447465,POINT (-87.60447465388 41.657621654142)
JF516432,12/19/2022 04:26:00 PM,2000 W CHICAGO AVE,WEST TOWN,30-39,M,BLK,FIRST DEGREE MURDER,12,2,16,PARKING LOT,41.89596835,-87.67753465,POINT (-87.67753465388 41.895968345858)
JF516379,12/19/2022 04:05:00 PM,8500 S SOUTH CHICAGO AVE,AVALON PARK,0-19,M,BLK,AGGRAVATED - HANDGUN,12,2,16,STREET,41.7410831,-87.57088906,POINT (-87.570889058699 41.741083095858)
JF516158,12/19/2022 01:05:00 PM,7900 S LAFAYETTE AVE,CHATHAM,20-29,M,BLK,AGGRAVATED - HANDGUN,12,2,13,GAS STATION,41.75104835,-87.62640535,POINT (-87.62640534612 41.751048345858)
JF515491,12/18/2022 08:48:00 PM,8900 S ASHLAND AVE,WASHINGTON HEIGHTS,20-29,M,BLK,AGGRAVATED - HANDGUN,12,1,20,STREET,41.7321931,-87.66253094,POINT (-87.662530941301 41.732193095858)
