Docket Number,Violation Number,Issued Date,Issuing Department,Last Hearing Date,Property Address,Violation Type,Entity or Person(s),Disposition Description,Total Fines,Total Administrative Costs,Interest Amount,Collection Costs or Attorney Fees,Court Cost,Original Total Amount Due,Total Paid,Current Amount Due,Latitude,Longitude,Location
22CP000724,P006023076|P006023077|P006023078|P006023079|P006023080|P006023081,12/13/2021,POLICE,02/04/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP001672,P005470566|P005470567,12/27/2021,POLICE,03/04/2022 01:00:00 PM,4453 W ADAMS ,13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required,"WELLS FARGO BANK NA, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.87772665084378,-87.73747556154183,POINT (-87.73747556154183 41.87772665084378)
22CP001725,P006023094|P006023095|P006023096|P006023097|P006023098|P006023099,01/10/2022,POLICE,03/04/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP001250,P006065062|P006065063|P006065064|P006065065|P006065066|P006065067,01/17/2022,POLICE,03/04/2022 09:00:00 AM,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80125558654073,-87.64274049287219,POINT (-87.64274049287219 41.80125558654073)
22CP001723,P006017460|P006017461|P006017462|P006017463|P006017464|P006017465,01/19/2022,POLICE,03/04/2022 09:00:00 AM,3419 W 82ND ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
22CP001713,P006017470|P006017471|P006017472|P006017473|P006017474|P006017475,01/19/2022,POLICE,03/04/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
22CP001346,P005893446|P005893447|P005893448|P005893449|P006065083|P006065084,01/22/2022,POLICE,03/04/2022 09:00:00 AM,5147 S PAULINA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79990636002708,-87.66702820989542,POINT (-87.66702820989542 41.79990636002708)
22CP002975,P006017573|P006017574|P006017575|P006017576|P006017577,02/01/2022,POLICE,04/01/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
22CP002686,P006017589|P006017590|P006017591|P006017592|P006017593|P006017594,02/14/2022,POLICE,04/01/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP002983,P006017578|P006017579|P006017580|P006017581|P006017583,02/14/2022,POLICE,04/01/2022 09:00:00 AM,3419 W 82ND ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
22CP004880,P006017653|P006017654|P006017655|P006017656|P006017657|P006017658,03/02/2022,POLICE,05/06/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
22CP004888,P006068893|P006068894|P006068895|P006068896|P006068897|P006068898,03/09/2022,POLICE,05/06/2022 09:00:00 AM,6445 S WASHTENAW ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"MARQUETTE BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.7758996847545,-87.69072579922162,POINT (-87.69072579922162 41.7758996847545)
22CP004883,P006068998|P006068999|P006069000|P006069001|P006069002|P006069003,03/09/2022,POLICE,05/06/2022 09:00:00 AM,3703 W 63RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.778656541462105,-87.71559628053797,POINT (-87.71559628053797 41.778656541462105)
22CP003776,P006066037|P006066038|P006066039|P006066040|P006066041|P006066042,03/15/2022,POLICE,05/06/2022 09:00:00 AM,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80125558654073,-87.64274049287219,POINT (-87.64274049287219 41.80125558654073)
22CP004028,P006066025|P006066026|P006066027|P006066028|P006066030|P006066033,03/17/2022,POLICE,05/06/2022 09:00:00 AM,5147 S PAULINA ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"DEUTSCHE BANK NATL TRUST CO, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.79990636002708,-87.66702820989542,POINT (-87.66702820989542 41.79990636002708)
22CP006025,P006068913|P006068914|P006068915|P006069171|P006069172|P006069173,04/04/2022,POLICE,06/03/2022 09:00:00 AM,3703 W 63RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.778656541462105,-87.71559628053797,POINT (-87.71559628053797 41.778656541462105)
22CP006029,P006068899|P006068900|P006068916|P006068917|P006068918|P006068919,04/04/2022,POLICE,06/03/2022 09:00:00 AM,7844 S TRUMBULL ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HSBC BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.75024287340102,-87.70865275272337,POINT (-87.70865275272337 41.75024287340102)
22CP006032,P006017328|P006017329|P006017330|P006017346|P006017347|P006017348,04/04/2022,POLICE,06/03/2022 09:00:00 AM,5836 S TALMAN ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"US BANK, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.78717783424199,-87.69010251220999,POINT (-87.69010251220999 41.78717783424199)
22CP006774,P006088381|P006088382|P006088383|P006088384|P006088385|P006088386,04/26/2022,POLICE,07/01/2022 09:00:00 AM,5111 S UNION ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"HOUSING URBAN DEVELOPMENT, ",Default - Liable by prove-up,6000.00,0.00,1267.40,1703.28,0.00,9010.68,0.00,9010.68,41.80125558654073,-87.64274049287219,POINT (-87.64274049287219 41.80125558654073)
22CP006993,P006067662|P006067663|P006067664|P006067665|P006067666|P006067667,05/03/2022,POLICE,07/01/2022 09:00:00 AM,3703 W 63RD ,13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-125  Duty to secure and maintain vacant building.|13-12-140  Watchman required|13-12-140  Watchman required|13-12-140  Watchman required,"BANK OF NEW YORK MELLON, ",City non-suit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.778656541462105,-87.71559628053797,POINT (-87.71559628053797 41.778656541462105)
